жОЯщАР;╦ТОР;йАТГЦ.;;аЯ. еМТэКЛАТОР;сТ. еМТэКЛ;йЫД.пЯОЛГХЕУТч;еПЫМУЛъА;а.ж.л;гЛ.еНЭЖКГС;дИЙАИОЩВОР пКГЯ.;аЯ. пАЯАСТАТИЙОЩ;гЛ/МъА пАЯАСТ/ЙОЩ;сУМОКИЙч аНъА;жояос (3%);жояос (4%);жояос (8%);жояос (20%;сЩМОКО йЯАТчСЕЫМ;пКГЯЫТщА аНъА
7900;2025;1;;веп      0000001;M;5000002145;екейт ае;81442199;30.01.2025;;2023;31.12.2024;229.008,18;0;0;13.851,66;0;25.389,97;203.618,21
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.219;01.10.2024;38,14;0;1,35;0;0;1,38;36,76
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;38.672;01.10.2024;59,63;0;2,11;0;0;2,16;57,47
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;38.673;01.10.2024;23,87;0;0,84;0;0;0,86;23,01
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.249;03.10.2024;20,33;0;0,72;0;0;0,74;19,59
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.267;06.10.2024;13,42;0;0,47;0;0;0,48;12,94
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.281;08.10.2024;48,69;0;1,72;0;0;1,76;46,93
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;38.985;08.10.2024;99,26;0;3,51;0;0;3,6;95,66
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.306;10.10.2024;21,81;0;0,77;0;0;0,79;21,02
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.343;15.10.2024;8,73;0;0,31;0;0;0,32;8,41
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;39.480;17.10.2024;67,21;0;2,38;0;0;2,44;64,77
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.369;17.10.2024;36,27;0;1,28;0;0;1,31;34,96
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.384;20.10.2024;11,56;0;0,41;0;0;0,42;11,14
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.396;22.10.2024;31,74;0;1,12;0;0;1,15;30,59
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.435;24.10.2024;47,09;0;1,67;0;0;1,71;45,38
7950;2025;1;;веп      0000002;M;5000001158;аицаиом цемийг пяолгх. тяож епе;997565624;13.03.2025;;13.446;29.10.2024;15,44;0;0,55;0;0;0,56;14,88
